#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|JCZ|-44.073210|168.785473|1062.000000|Jackson Bay|2004-06-23T00:00:00|
NZ|JSCB|-43.518165|172.731842|1.000000|Christchurch Jervios Street Building Array|2014-06-15T00:00:00|
NZ|KAFS|-38.083515|176.709290|39.000000|Kawerau Fire Station|2001-12-06T00:00:00|
NZ|KAHZ|-39.794210|176.876610|647.000000|Kahuranaki|2007-06-07T00:00:00|
NZ|KAIS|-41.085870|175.174930|383.000000|Kaitoke|2014-06-30T00:00:00|
NZ|KAIT|-42.412880|173.702770|0.000000|Kaikoura|2010-05-27T00:00:00|
NZ|KAPS|-36.822298|174.703661|103.000000|Kauri Point|2000-05-16T00:00:00|
NZ|KARS|-41.249420|172.116451|9.000000|Karamea School|2002-04-17T00:00:00|
NZ|KARZ|-38.020223|176.244275|405.000000|Kaharoa|2006-07-11T00:00:00|
NZ|KATZ|-38.974900|175.694835|1327.000000|Kakaramea|1996-08-25T00:00:00|
NZ|KBAZ|-37.094683|174.888552|12.000000|Karaka Road Borehole|2008-07-11T00:00:00|
NZ|KEKS|-41.955690|173.981410|339.000000|Kekerengu Valley Road|2013-04-04T00:00:00|
NZ|KFHS|-39.433371|176.466962|425.000000|Kaweka Forest Headquarters|2002-04-25T00:00:00|
NZ|KHEZ|-39.294200|174.014500|929.000000|Kahui Hut|2009-05-21T00:00:00|
NZ|KHLS|-40.557040|172.611890|66.000000|Kaihoka Lakes|2013-04-12T00:00:00|
NZ|KHZ|-42.415980|173.538970|64.000000|Kahutara|1988-12-08T00:00:00|
NZ|KIKS|-42.425812|173.682125|8.000000|Kaikoura|1999-09-27T00:00:00|
NZ|KIRS|-41.076884|175.230011|262.000000|Kaitoke Kiwi Ranch|2002-03-07T00:00:00|
NZ|KIW|-40.860878|174.909728|381.000000|Kapiti Island|1978-04-10T00:00:00|
NZ|KLDS|-41.673092|172.874958|494.000000|Kikiwa Line Depot|2002-02-27T00:00:00|
NZ|KLNZ|-40.565000|172.596180|78.000000|Kaihoka Lakes|2015-06-01T00:00:00|
NZ|KMRZ|-37.845600|175.941600|542.000000|Kaimai|2011-03-08T00:00:00|
NZ|KNZ|-39.021755|177.673669|32.000000|Kokohu|1998-10-19T00:00:00|
NZ|KOKS|-42.891687|171.135640|80.000000|Kokatahi|1999-09-09T00:00:00|
NZ|KOWC|-43.321460|171.854850|466.000000|Kowai|2005-11-18T00:00:00|
NZ|KPFZ|-36.426887|174.616520|109.000000|Kaipara Flats|2023-03-17T03:00:00|
NZ|KPOC|-43.376463|172.663768|2.000000|Kaiapoi North School|2004-11-25T00:00:00|
NZ|KPRZ|-38.801994|175.792935|593.000000|Karangahape|2022-12-13T00:00:00|
NZ|KRBZ|-36.891922|175.463553|284.000000|Kereta Bay|2023-05-10T04:05:00|
NZ|KRHZ|-39.643155|176.370120|530.000000|Kereru|2008-04-28T00:00:00|
NZ|KRVZ|-39.094442|175.641204|1207.000000|Karewarewa|2004-12-03T00:00:00|
NZ|KUTZ|-38.489100|175.823300|515.000000|Kaahu Road|2010-04-15T00:00:00|
NZ|KUZ|-36.745229|175.720873|76.000000|Kuaotunu|1990-10-11T00:00:00|
NZ|KWHZ|-39.424000|176.422800|854.000000|Kaweka Forest|2010-06-02T00:00:00|
NZ|LBZ|-44.385553|170.184420|438.000000|Lake Benmore|2004-06-04T00:00:00|
NZ|LHBS|-41.196646|174.892316|236.000000|Lower Hutt Normandale|2005-06-01T00:00:00|
NZ|LHES|-41.211686|174.903336|16.000000|Lower Hutt Emergency Management Office|2001-10-29T00:00:00|
NZ|LHRS|-41.204736|174.893186|125.000000|Lower Hutt Normandale Rock Site|2001-11-08T00:00:00|
NZ|LIRS|-41.232310|174.919290|20.000000|Lower Hutt IRL|2011-05-31T00:00:00|
NZ|LIRZ|-38.003570|176.385230|340.000000|Lichenstein Road|1992-06-16T00:00:00|
NZ|LOKS|-42.011570|173.482440|1609.000000|Mount Lookout|2017-06-15T00:00:00|
NZ|LOTT|-37.550398|178.159041|0.000000|East Cape|2008-10-03T06:00:00|
NZ|LPDS|-43.606292|172.709833|0.000000|Lyttelton Port|2018-08-24T03:40:00|
NZ|LREZ|-39.460200|174.402700|220.000000|Lake Rotokare|2010-01-27T00:00:00|
NZ|LRRZ|-36.146327|174.538250|142.000000|Lawrence Road|2023-03-19T22:28:00|
NZ|LRSC|-43.729390|171.793634|198.000000|Lauriston|2005-02-24T00:00:00|
NZ|LRSS|-41.229430|174.904246|3.000000|Randwick School|2011-07-15T00:00:00|
NZ|LS003|-37.561805|178.154335|96.000000|Lottin Point Landslide Dam|2026-03-05T21:59:59|
NZ|LSRC|-42.869520|172.543288|335.000000|Lake Sumner Road|2004-11-28T00:00:00|
NZ|LTZ|-42.781667|172.271035|648.000000|Lake Taylor Station|1989-10-12T00:00:00|
NZ|MAGS|-36.885339|174.726041|39.000000|Mount Albert Grammar School|2002-06-20T00:00:00|
NZ|MARZ|-37.984923|176.674700|480.000000|Manawahe|1988-03-25T22:00:00|
NZ|MATS|-41.428950|172.703700|290.000000|Matariki Wadsworth Road|2015-04-02T00:00:00|
NZ|MAVS|-41.210858|175.461483|33.000000|Martinborough Wines Vineyard|1999-08-20T00:00:00|
NZ|MAVZ|-39.267913|175.561653|2624.100000|Matarangi|2008-02-07T00:00:00|
NZ|MBAZ|-36.768787|174.897918|60.000000|Motutapu Borehole|2012-10-08T00:00:00|
NZ|MCAS|-41.799934|172.328031|174.000000|Murchison Area School|2002-02-27T00:00:00|
NZ|MCHZ|-39.444185|176.696667|346.000000|McNeill Hill|2008-05-27T00:00:00|
NZ|MCNS|-43.736450|170.097200|740.000000|Mount Cook Annex|2008-05-10T00:00:00|
NZ|MENS|-43.558490|172.711490|35.000000|Menlo Terrace Mount Pleasant Christchurch|2012-06-27T00:00:00|
